num_threads,iteration,execution_time
1,1,1788
1,2,1779
1,3,1777
1,4,1779
1,5,1778
1,6,1778
1,7,1780
1,8,1780
1,9,1779
1,10,1779
1,11,1785
1,12,1781
1,13,1783
1,14,1779
1,15,1779
1,16,1779
1,17,1778
1,18,1778
1,19,1778
1,20,1778
1,21,1782
1,22,1781
1,23,1778
1,24,1785
1,25,1779
1,26,1779
1,27,1779
1,28,1779
1,29,1780
1,30,1781
2,1,1229
2,2,1212
2,3,1215
2,4,1216
2,5,1215
2,6,1214
2,7,1215
2,8,1213
2,9,1214
2,10,1227
2,11,1215
2,12,1215
2,13,1222
2,14,1214
2,15,1227
2,16,1223
2,17,1214
2,18,1221
2,19,1227
2,20,1212
2,21,1213
2,22,1214
2,23,1221
2,24,1223
2,25,1217
2,26,1214
2,27,1211
2,28,1216
2,29,1232
2,30,1215
3,1,1045
3,2,1053
3,3,1055
3,4,1053
3,5,1050
3,6,1059
3,7,1066
3,8,1049
3,9,1053
3,10,1048
3,11,1043
3,12,1042
3,13,1053
3,14,1058
3,15,1057
3,16,1041
3,17,1044
3,18,1057
3,19,1077
3,20,1060
3,21,1041
3,22,1056
3,23,1047
3,24,1064
3,25,1049
3,26,1057
3,27,1048
3,28,1053
3,29,1072
3,30,1042
4,1,1011
4,2,999
4,3,1006
4,4,975
4,5,988
4,6,975
4,7,982
4,8,981
4,9,992
4,10,988
4,11,998
4,12,990
4,13,984
4,14,989
4,15,995
4,16,968
4,17,981
4,18,959
4,19,1003
4,20,963
4,21,982
4,22,977
4,23,984
4,24,992
4,25,964
4,26,990
4,27,983
4,28,972
4,29,1011
4,30,983
5,1,963
5,2,990
5,3,1003
5,4,999
5,5,975
5,6,989
5,7,977
5,8,965
5,9,1009
5,10,995
5,11,967
5,12,964
5,13,947
5,14,999
5,15,1004
5,16,978
5,17,992
5,18,947
5,19,971
5,20,948
5,21,977
5,22,965
5,23,959
5,24,988
5,25,996
5,26,978
5,27,957
5,28,932
5,29,1028
5,30,980
6,1,1071
6,2,1003
6,3,1130
6,4,1037
6,5,1047
6,6,1045
6,7,1022
6,8,1033
6,9,1020
6,10,1017
6,11,1046
6,12,990
6,13,1049
6,14,1033
6,15,1084
6,16,983
6,17,1057
6,18,1039
6,19,1025
6,20,1037
6,21,1002
6,22,1008
6,23,1040
6,24,983
6,25,1054
6,26,996
6,27,1069
6,28,1017
6,29,1020
6,30,1021
7,1,1153
7,2,1193
7,3,1155
7,4,1100
7,5,1137
7,6,1167
7,7,1119
7,8,1207
7,9,1140
7,10,1153
7,11,1157
7,12,1154
7,13,1146
7,14,1179
7,15,1157
7,16,1174
7,17,1132
7,18,1150
7,19,1111
7,20,1105
7,21,1176
7,22,1144
7,23,1153
7,24,1161
7,25,1160
7,26,1118
7,27,1117
7,28,1139
7,29,1144
7,30,1134
8,1,1219
8,2,1244
8,3,1248
8,4,1217
8,5,1233
8,6,1197
8,7,1205
8,8,1189
8,9,1265
8,10,1227
8,11,1208
8,12,1246
8,13,1241
8,14,1203
8,15,1198
8,16,1204
8,17,1208
8,18,1227
8,19,1246
8,20,1242
8,21,1253
8,22,1196
8,23,1204
8,24,1235
8,25,1220
8,26,1235
8,27,1236
8,28,1204
8,29,1214
8,30,1234
9,1,1284
9,2,1300
9,3,1292
9,4,1284
9,5,1267
9,6,1334
9,7,1278
9,8,1279
9,9,1276
9,10,1307
9,11,1268
9,12,1278
9,13,1288
9,14,1264
9,15,1308
9,16,1296
9,17,1316
9,18,1297
9,19,1276
9,20,1277
9,21,1316
9,22,1307
9,23,1311
9,24,1299
9,25,1314
9,26,1269
9,27,1285
9,28,1286
9,29,1289
9,30,1267
10,1,1370
10,2,1347
10,3,1365
10,4,1377
10,5,1355
10,6,1365
10,7,1371
10,8,1372
10,9,1374
10,10,1383
10,11,1361
10,12,1369
10,13,1332
10,14,1380
10,15,1369
10,16,1380
10,17,1363
10,18,1351
10,19,1351
10,20,1390
10,21,1368
10,22,1360
10,23,1349
10,24,1371
10,25,1369
10,26,1388
10,27,1375
10,28,1380
10,29,1336
10,30,1373
11,1,1433
11,2,1449
11,3,1436
11,4,1499
11,5,1459
11,6,1466
11,7,1438
11,8,1458
11,9,1438
11,10,1446
11,11,1449
11,12,1431
11,13,1443
11,14,1447
11,15,1468
11,16,1440
11,17,1449
11,18,1453
11,19,1441
11,20,1469
11,21,1467
11,22,1445
11,23,1438
11,24,1474
11,25,1440
11,26,1430
11,27,1439
11,28,1440
11,29,1436
11,30,1442
12,1,1573
12,2,1577
12,3,1575
12,4,1530
12,5,1542
12,6,1537
12,7,1578
12,8,1539
12,9,1589
12,10,1574
12,11,1565
12,12,1535
12,13,1531
12,14,1529
12,15,1529
12,16,1533
12,17,1571
12,18,1531
12,19,1583
12,20,1579
12,21,1534
12,22,1564
12,23,1533
12,24,1598
12,25,1600
12,26,1532
12,27,1536
12,28,1576
12,29,1532
12,30,1536
13,1,1689
13,2,1680
13,3,1700
13,4,1723
13,5,1704
13,6,1679
13,7,1697
13,8,1676
13,9,1694
13,10,1684
13,11,1696
13,12,1692
13,13,1699
13,14,1672
13,15,1714
13,16,1680
13,17,1708
13,18,1699
13,19,1704
13,20,1681
13,21,1689
13,22,1703
13,23,1680
13,24,1678
13,25,1688
13,26,1693
13,27,1733
13,28,1697
13,29,1697
13,30,1696
14,1,1806
14,2,1802
14,3,1807
14,4,1841
14,5,1799
14,6,1806
14,7,1806
14,8,1809
14,9,1771
14,10,1775
14,11,1811
14,12,1804
14,13,1848
14,14,1811
14,15,1838
14,16,1820
14,17,1810
14,18,1780
14,19,1802
14,20,1800
14,21,1789
14,22,1782
14,23,1798
14,24,1809
14,25,1814
14,26,1810
14,27,1834
14,28,1783
14,29,1860
14,30,1840
15,1,1902
15,2,1918
15,3,1869
15,4,1904
15,5,1969
15,6,1909
15,7,1886
15,8,1888
15,9,1877
15,10,1905
15,11,1915
15,12,1905
15,13,1868
15,14,1891
15,15,1895
15,16,1937
15,17,1896
15,18,1877
15,19,1900
15,20,1918
15,21,1874
15,22,1908
15,23,1937
15,24,1925
15,25,1922
15,26,1878
15,27,1903
15,28,1949
15,29,1941
15,30,1877
16,1,2034
16,2,2006
16,3,2002
16,4,1984
16,5,2010
16,6,2005
16,7,1989
16,8,2001
16,9,1984
16,10,2001
16,11,1966
16,12,1971
16,13,2026
16,14,2010
16,15,2008
16,16,1998
16,17,2048
16,18,2027
16,19,2021
16,20,1971
16,21,1980
16,22,2029
16,23,2027
16,24,1988
16,25,2012
16,26,2032
16,27,1993
16,28,1984
16,29,2001
16,30,2012
